artifact,label,owner
aa_1343,Boston 64.50,https://www.wikidata.org/wiki/Q49133
aa_1372,Boston 17.3340,https://www.wikidata.org/wiki/Q49133
aa_1454,Boston 57.720,https://www.wikidata.org/wiki/Q49133
aa_1459,Boston 1994.274,https://www.wikidata.org/wiki/Q49133
aa_1545,Boston 63.1245,https://www.wikidata.org/wiki/Q49133
aa_893,BCMA 1919.58.22,https://www.wikidata.org/wiki/Q4950759
aa_915,BCMA 1919.58.73,https://www.wikidata.org/wiki/Q4950759
aa_927,BCMA 1920.8.37,https://www.wikidata.org/wiki/Q4950759
aa_928,BCMA 1920.8.38,https://www.wikidata.org/wiki/Q4950759
aa_926,BCMA 1920.8.2,https://www.wikidata.org/wiki/Q4950759
aa_923,BCMA 1919.58.98,https://www.wikidata.org/wiki/Q4950759
aa_895,BCMA 1919.58.25,https://www.wikidata.org/wiki/Q4950759
aa_897,BCMA 1919.58.27,https://www.wikidata.org/wiki/Q4950759
aa_884,BCMA 1915.98,https://www.wikidata.org/wiki/Q4950759
aa_899,BCMA 1919.58.29,https://www.wikidata.org/wiki/Q4950759
aa_890,BCMA 1919.58.19,https://www.wikidata.org/wiki/Q4950759
aa_917,BCMA 1919.58.8,https://www.wikidata.org/wiki/Q4950759
aa_918,BCMA 1919.58.8 D,https://www.wikidata.org/wiki/Q4950759
aa_896,BCMA 1919.58.26,https://www.wikidata.org/wiki/Q4950759
aa_898,BCMA 1919.58.28,https://www.wikidata.org/wiki/Q4950759
aa_901,BCMA 1919.58.31,https://www.wikidata.org/wiki/Q4950759
aa_929,BCMA 1920.8.39,https://www.wikidata.org/wiki/Q4950759
aa_888,BCMA 1919.58.17,https://www.wikidata.org/wiki/Q4950759
aa_914,BCMA 1919.58.68,https://www.wikidata.org/wiki/Q4950759
aa_886,BCMA 1919.58.104,https://www.wikidata.org/wiki/Q4950759
aa_924,BCMA 1919.58.99,https://www.wikidata.org/wiki/Q4950759
aa_913,BCMA 1919.58.67,https://www.wikidata.org/wiki/Q4950759
aa_907,BCMA 1919.58.58,https://www.wikidata.org/wiki/Q4950759
aa_900,BCMA 1919.58.3,https://www.wikidata.org/wiki/Q4950759
aa_939,BCMA 1923.118.2,https://www.wikidata.org/wiki/Q4950759
aa_892,BCMA 1919.58.21,https://www.wikidata.org/wiki/Q4950759
aa_894,BCMA 1919.58.24,https://www.wikidata.org/wiki/Q4950759
aa_920,BCMA 1919.58.8b,https://www.wikidata.org/wiki/Q4950759
aa_916,BCMA 1919.58.78,https://www.wikidata.org/wiki/Q4950759
aa_733,BCMA 1914.6.1,https://www.wikidata.org/wiki/Q4950759
aa_885,BCMA 1919.58.1,https://www.wikidata.org/wiki/Q4950759
aa_891,BCMA 1919.58.2,https://www.wikidata.org/wiki/Q4950759
aa_882,BCMA 1914.6.8,https://www.wikidata.org/wiki/Q4950759
aa_904,BCMA 1919.58.4,https://www.wikidata.org/wiki/Q4950759
aa_883,BCMA 1915.94,https://www.wikidata.org/wiki/Q4950759
aa_945,BCMA 1923.119.9,https://www.wikidata.org/wiki/Q4950759
aa_944,BCMA 1923.119.5,https://www.wikidata.org/wiki/Q4950759
aa_906,BCMA 1919.58.4a,https://www.wikidata.org/wiki/Q4950759
aa_947,BCMA 1958.18.5,https://www.wikidata.org/wiki/Q4950759
aa_908,BCMA 1919.58.5a,https://www.wikidata.org/wiki/Q4950759
aa_922,BCMA 1919.58.97,https://www.wikidata.org/wiki/Q4950759
aa_905,BCMA 1919.58.40,https://www.wikidata.org/wiki/Q4950759
aa_878,BCMA 1914.6.2,https://www.wikidata.org/wiki/Q4950759
aa_879,BCMA 1914.6.3,https://www.wikidata.org/wiki/Q4950759
aa_903,BCMA 1919.58.39a,https://www.wikidata.org/wiki/Q4950759
aa_930,BCMA 1920.8.45,https://www.wikidata.org/wiki/Q4950759
aa_931,BCMA 1920.8.46,https://www.wikidata.org/wiki/Q4950759
aa_902,BCMA 1919.58.37,https://www.wikidata.org/wiki/Q4950759
aa_881,BCMA 1914.6.7,https://www.wikidata.org/wiki/Q4950759
aa_911,BCMA 1919.58.65,https://www.wikidata.org/wiki/Q4950759
aa_932,BCMA 1920.8.47,https://www.wikidata.org/wiki/Q4950759
aa_889,BCMA 1919.58.18,https://www.wikidata.org/wiki/Q4950759
aa_909,BCMA 1919.58.63,https://www.wikidata.org/wiki/Q4950759
aa_910,BCMA 1919.58.64,https://www.wikidata.org/wiki/Q4950759
aa_940,BCMA 1923.118.3,https://www.wikidata.org/wiki/Q4950759
aa_941,BCMA 1923.118.4,https://www.wikidata.org/wiki/Q4950759
aa_942,BCMA 1923.118.5,https://www.wikidata.org/wiki/Q4950759
aa_887,BCMA 1919.58.12,https://www.wikidata.org/wiki/Q4950759
aa_912,BCMA 1919.58.66,https://www.wikidata.org/wiki/Q4950759
aa_933,BCMA 1920.8.49,https://www.wikidata.org/wiki/Q4950759
aa_934,BCMA 1920.8.51,https://www.wikidata.org/wiki/Q4950759
aa_935,BCMA 1920.8.52,https://www.wikidata.org/wiki/Q4950759
aa_936,BCMA 1920.8.53,https://www.wikidata.org/wiki/Q4950759
aa_943,BCMA 1923.118.6,https://www.wikidata.org/wiki/Q4950759
aa_925,BCMA 1920.8.1,https://www.wikidata.org/wiki/Q4950759
aa_919,BCMA 1919.58.89,https://www.wikidata.org/wiki/Q4950759
aa_937,BCMA 1920.8.55,https://www.wikidata.org/wiki/Q4950759
aa_946,BCMA 1958.18.2,https://www.wikidata.org/wiki/Q4950759
aa_921,BCMA 1919.58.95,https://www.wikidata.org/wiki/Q4950759
aa_880,BCMA 1914.6.6,https://www.wikidata.org/wiki/Q4950759
aa_938,BCMA 1920.8.57,https://www.wikidata.org/wiki/Q4950759
aa_822,BCMA 1914.6.12,https://www.wikidata.org/wiki/Q4950759
aa_950,Boston 1997.89,https://www.wikidata.org/wiki/Q49133
aa_951,Boston 1997.95,https://www.wikidata.org/wiki/Q49133
aa_952,Boston 1987.491,https://www.wikidata.org/wiki/Q49133
aa_953,Boston 1997.63,https://www.wikidata.org/wiki/Q49133
aa_954,Boston 1997.93,https://www.wikidata.org/wiki/Q49133
aa_955,Boston 1997.88,https://www.wikidata.org/wiki/Q49133
aa_956,Boston 1997.94,https://www.wikidata.org/wiki/Q49133
aa_957,Boston 1997.91,https://www.wikidata.org/wiki/Q49133
aa_958,Boston 1997.92,https://www.wikidata.org/wiki/Q49133
aa_959,Boston 1996.107,https://www.wikidata.org/wiki/Q49133
aa_960,Boston 1997.84,https://www.wikidata.org/wiki/Q49133
aa_961,Boston 1997.86,https://www.wikidata.org/wiki/Q49133
aa_962,Boston 1996.104,https://www.wikidata.org/wiki/Q49133
aa_963,Boston 1996.105,https://www.wikidata.org/wiki/Q49133
aa_964,Boston 1997.90,https://www.wikidata.org/wiki/Q49133
aa_965,Boston 1996.106,https://www.wikidata.org/wiki/Q49133
aa_966,Boston 1997.87,https://www.wikidata.org/wiki/Q49133
aa_967,Boston 1997.85,https://www.wikidata.org/wiki/Q49133
aa_968,Boston 88.373,https://www.wikidata.org/wiki/Q49133
aa_969,Boston 88.374,https://www.wikidata.org/wiki/Q49133
aa_970,Boston 32.655,https://www.wikidata.org/wiki/Q49133
aa_971,Boston 17.3313,https://www.wikidata.org/wiki/Q49133
aa_972,Boston 32.653,https://www.wikidata.org/wiki/Q49133
aa_973,Boston 32.659,https://www.wikidata.org/wiki/Q49133
aa_974,Boston 32.660,https://www.wikidata.org/wiki/Q49133
aa_975,Boston 32.700,https://www.wikidata.org/wiki/Q49133
aa_976,Boston 32.736,https://www.wikidata.org/wiki/Q49133
aa_977,Boston 54.672,https://www.wikidata.org/wiki/Q49133
aa_978,Boston 88.378,https://www.wikidata.org/wiki/Q49133
aa_979,Boston 98.1130,https://www.wikidata.org/wiki/Q49133
aa_980,Boston 98.1133,https://www.wikidata.org/wiki/Q49133
aa_981,Boston 01.1993,https://www.wikidata.org/wiki/Q49133
aa_982,Boston 01.5039,https://www.wikidata.org/wiki/Q49133
aa_983,Boston 12.906,https://www.wikidata.org/wiki/Q49133
aa_984,Boston 32.751,https://www.wikidata.org/wiki/Q49133
aa_985,Boston 32.763,https://www.wikidata.org/wiki/Q49133
aa_986,Boston 32.764,https://www.wikidata.org/wiki/Q49133
aa_987,Boston 32.766,https://www.wikidata.org/wiki/Q49133
aa_988,Boston 32.801,https://www.wikidata.org/wiki/Q49133
aa_989,Boston 32.810,https://www.wikidata.org/wiki/Q49133
aa_990,Boston 1984.44,https://www.wikidata.org/wiki/Q49133
aa_991,Boston 88.383,https://www.wikidata.org/wiki/Q49133
aa_992,Boston 92.23,https://www.wikidata.org/wiki/Q49133
aa_993,Boston 95.166,https://www.wikidata.org/wiki/Q49133
aa_994,Boston 95.167,https://www.wikidata.org/wiki/Q49133
aa_995,Boston 95.168,https://www.wikidata.org/wiki/Q49133
aa_996,Boston 98.1129,https://www.wikidata.org/wiki/Q49133
aa_997,Boston 98.1135,https://www.wikidata.org/wiki/Q49133
aa_998,Boston 01.1916,https://www.wikidata.org/wiki/Q49133
aa_999,Boston 03.1917,https://www.wikidata.org/wiki/Q49133
aa_1000,Boston 12.440,https://www.wikidata.org/wiki/Q49133
aa_1001,Boston 12.441,https://www.wikidata.org/wiki/Q49133
